system,background_jobs,p99_latency
spdk_static,0,73
spdk_static,1,57
spdk_static,2,59
spdk_static,3,59
spdk_static,4,57
spdk_static,5,60
spdk_static,6,62
spdk_static,7,63
spdk_static,8,64
spdk_dynamic,0,118
spdk_dynamic,1,86
spdk_dynamic,2,87
spdk_dynamic,3,88
spdk_dynamic,4,90
spdk_dynamic,5,81
spdk_dynamic,6,71
spdk_dynamic,7,70
spdk_dynamic,8,66
linux,0,96
linux,1,70
linux,2,67
linux,3,71
linux,4,69
linux,5,76
linux,6,73
linux,7,71
linux,8,74
